x,y
2591,-572.6932742
2592,-571.6932742
2593,-570.6932742
2593,-569.6932742
2594,-568.6932742
2595,-567.6932742
2596,-566.6932742
2596,-565.6932742
2596,-564.6932742
2597,-563.6932742
2598,-562.6932742
2598,-561.6932742
2599,-560.6932742
2599,-559.6932742
2600,-558.6932742
2601,-557.6932742
2601,-556.6932742
2602,-555.6932742
2602,-554.6932742
2603,-553.6932742
2604,-552.6932742
2605,-551.6932742
2606,-550.6932742
2606,-549.6932742
2607,-548.6932742
2608,-547.6932742
2609,-546.6932742
2610,-545.6932742
2611,-544.6932742
2611,-543.6932742
2612,-542.6932742
2613,-541.6932742
2613,-540.6932742
2614,-539.6932742
2615,-538.6932742
2616,-537.6932742
2616,-536.6932742
2617,-535.6932742
2618,-534.6932742
2619,-533.6932742
2619,-532.6932742
2620,-531.6932742
2621,-530.6932742
2622,-529.6932742
2623,-528.6932742
2623,-527.6932742
2624,-526.6932742
2625,-525.6932742
2625,-524.6932742
2626,-523.6932742
2626,-522.6932742
2627,-521.6932742
2627,-520.6932742
2628,-519.6932742
2628,-518.6932742
2629,-517.6932742
2629,-516.6932742
2630,-515.6932742
2630,-514.6932742
2630,-513.6932742
2631,-512.6932742
2632,-511.6932742
2632,-510.6932742
2633,-509.6932742
2634,-508.6932742
2634,-507.6932742
2635,-506.6932742
2636,-505.6932742
2636,-504.6932742
2637,-503.6932742
2638,-502.6932742
2639,-501.6932742
2640,-500.6932742
2640,-499.6932742
2641,-498.6932742
2642,-497.6932742
2643,-496.6932742
2644,-495.6932742
2645,-494.6932742
2646,-493.6932742
2646,-492.6932742
2647,-491.6932742
2648,-490.6932742
2649,-489.6932742
2649,-488.6932742
2650,-487.6932742
2651,-486.6932742
2651,-485.6932742
2652,-484.6932742
2653,-483.6932742
2654,-482.6932742
2655,-481.6932742
2656,-480.6932742
2671,-482.6932742
2657,-479.6932742
2670,-481.6932742
2666,-480.6932742
2667,-480.6932742
2668,-480.6932742
2669,-480.6932742
2658,-478.6932742
2665,-479.6932742
2661,-478.6932742
2662,-478.6932742
2663,-478.6932742
2664,-478.6932742
2659,-477.6932742
2660,-477.6932742
2660,-476.6932742
2660,-475.6932742
2661,-474.6932742
2661,-473.6932742
2662,-472.6932742
2663,-471.6932742
2663,-470.6932742
2664,-469.6932742
2664,-468.6932742
2665,-467.6932742
2666,-466.6932742
2666,-465.6932742
2667,-464.6932742
2668,-463.6932742
2668,-462.6932742
2669,-461.6932742
2669,-460.6932742
2670,-459.6932742
2670,-458.6932742
2671,-457.6932742
2671,-456.6932742
2671,-455.6932742
2671,-454.6932742
2672,-453.6932742
2672,-452.6932742
2673,-451.6932742
2673,-450.6932742
2674,-449.6932742
2674,-448.6932742
2674,-447.6932742
2675,-446.6932742
2675,-445.6932742
2675,-444.6932742
2676,-443.6932742
2676,-442.6932742
2676,-441.6932742
2677,-440.6932742
2677,-439.6932742
2678,-438.6932742
2678,-437.6932742
2678,-436.6932742
2679,-435.6932742
2679,-434.6932742
2680,-433.6932742
2680,-432.6932742
2680,-431.6932742
2681,-430.6932742
2681,-429.6932742
2682,-428.6932742
2682,-427.6932742
2682,-426.6932742
2683,-425.6932742
2683,-424.6932742
2683,-423.6932742
2684,-422.6932742
2684,-421.6932742
2684,-420.6932742
2685,-419.6932742
2685,-418.6932742
2685,-417.6932742
2686,-416.6932742
2686,-415.6932742
2687,-414.6932742
2688,-413.6932742
2688,-412.6932742
2689,-411.6932742
2690,-410.6932742
2691,-409.6932742
2691,-408.6932742
2692,-407.6932742
2693,-406.6932742
2694,-405.6932742
2694,-404.6932742
2695,-403.6932742
2696,-402.6932742
2696,-401.6932742
2697,-400.6932742
2698,-399.6932742
2698,-398.6932742
2699,-397.6932742
2700,-396.6932742
2700,-395.6932742
2701,-394.6932742
2701,-393.6932742
2702,-392.6932742
2703,-391.6932742
2703,-390.6932742
2704,-389.6932742
2704,-388.6932742
2704,-387.6932742
2705,-386.6932742
2705,-385.6932742
2706,-384.6932742
2706,-383.6932742
2706,-382.6932742
2707,-381.6932742
2707,-380.6932742
2707,-379.6932742
2708,-378.6932742
2708,-377.6932742
2709,-376.6932742
2709,-375.6932742
2710,-374.6932742
2710,-373.6932742
2710,-372.6932742
2711,-371.6932742
2712,-370.6932742
2712,-369.6932742
2713,-368.6932742
2713,-367.6932742
2714,-366.6932742
2714,-365.6932742
2715,-364.6932742
2715,-363.6932742
2716,-362.6932742
2716,-361.6932742
2717,-360.6932742
2717,-359.6932742
2718,-358.6932742
2718,-357.6932742
2719,-356.6932742
2719,-355.6932742
2720,-354.6932742
2720,-353.6932742
2720,-352.6932742
2721,-351.6932742
2721,-350.6932742
2722,-349.6932742
2722,-348.6932742
2722,-347.6932742
2723,-346.6932742
2724,-345.6932742
2724,-344.6932742
2725,-343.6932742
2726,-342.6932742
2726,-341.6932742
2727,-340.6932742
2728,-339.6932742
2728,-338.6932742
2729,-337.6932742
2730,-336.6932742
2731,-335.6932742
2731,-334.6932742
2732,-333.6932742
2733,-332.6932742
2733,-331.6932742
2734,-330.6932742
2735,-330.6932742
2736,-330.6932742
2737,-330.6932742
2754,-332.6932742
2738,-330.6932742
2755,-332.6932742
2739,-330.6932742
2756,-332.6932742
2740,-330.6932742
2741,-330.6932742
2742,-330.6932742
2743,-330.6932742
2735,-329.6932742
2744,-330.6932742
2753,-331.6932742
2745,-330.6932742
2746,-330.6932742
2747,-330.6932742
2748,-330.6932742
2749,-330.6932742
2750,-330.6932742
2751,-330.6932742
2735,-328.6932742
2752,-330.6932742
2735,-327.6932742
2736,-326.6932742
2736,-325.6932742
2736,-324.6932742
2736,-323.6932742
2736,-322.6932742
2736,-321.6932742
2737,-320.6932742
2737,-319.6932742
2737,-318.6932742
2737,-317.6932742
2737,-316.6932742
2724,-314.6932742
2725,-314.6932742
2726,-314.6932742
2727,-314.6932742
2728,-314.6932742
2737,-315.6932742
2729,-314.6932742
2730,-314.6932742
2731,-314.6932742
2723,-313.6932742
2732,-314.6932742
2733,-314.6932742
2734,-314.6932742
2735,-314.6932742
2736,-314.6932742
2737,-314.6932742
2722,-312.6932742
2738,-313.6932742
2721,-311.6932742
2720,-310.6932742
2738,-312.6932742
2739,-311.6932742
2739,-310.6932742
2740,-309.6932742
2741,-308.6932742
2741,-307.6932742
2742,-306.6932742
2742,-305.6932742
2743,-304.6932742
2744,-303.6932742
2744,-302.6932742
2745,-301.6932742
2745,-300.6932742
2746,-299.6932742
2746,-298.6932742
2746,-297.6932742
2747,-296.6932742
2747,-295.6932742
2748,-294.6932742
2748,-293.6932742
2749,-292.6932742
2749,-291.6932742
2749,-290.6932742
2750,-289.6932742
2750,-288.6932742
2750,-287.6932742
2751,-286.6932742
2751,-285.6932742
2751,-284.6932742
2752,-283.6932742
2752,-282.6932742
2753,-281.6932742
2753,-280.6932742
2754,-279.6932742
2754,-278.6932742
2755,-277.6932742
2755,-276.6932742
2756,-275.6932742
2756,-274.6932742
2756,-273.6932742
2757,-272.6932742
2757,-271.6932742
2758,-270.6932742
2758,-269.6932742
2758,-268.6932742
2759,-267.6932742
2759,-266.6932742
2760,-265.6932742
2761,-264.6932742
2761,-263.6932742
2762,-262.6932742
2762,-261.6932742
2763,-260.6932742
2764,-259.6932742
2764,-258.6932742
2764,-257.6932742
2765,-256.6932742
2766,-255.6932742
2766,-254.6932742
2767,-253.6932742
2768,-252.6932742
2768,-251.6932742
2769,-250.6932742
2770,-249.6932742
2771,-248.6932742
2771,-247.6932742
2771,-246.6932742
2772,-245.6932742
2772,-244.6932742
2773,-243.6932742
2773,-242.6932742
2774,-241.6932742
2774,-240.6932742
2774,-239.6932742
2775,-238.6932742
2775,-237.6932742
2775,-236.6932742
2776,-235.6932742
2776,-234.6932742
2776,-233.6932742
2777,-232.6932742
2777,-231.6932742
2777,-230.6932742
2778,-229.6932742
2778,-228.6932742
2778,-227.6932742
2778,-226.6932742
2779,-225.6932742
2779,-224.6932742
2780,-223.6932742
2780,-222.6932742
2781,-221.6932742
2781,-220.6932742
2781,-219.6932742
2782,-218.6932742
2782,-217.6932742
2783,-216.6932742
2783,-215.6932742
2783,-214.6932742
2784,-213.6932742
2784,-212.6932742
2784,-211.6932742
2785,-210.6932742
2785,-209.6932742
2785,-208.6932742
2786,-207.6932742
2786,-206.6932742
2787,-205.6932742
2787,-204.6932742
2787,-203.6932742
2788,-202.6932742
2788,-201.6932742
2788,-200.6932742
2789,-199.6932742
2789,-198.6932742
2790,-197.6932742
2790,-196.6932742
2790,-195.6932742
2790,-194.6932742
2791,-193.6932742
2791,-192.6932742
2791,-191.6932742
2791,-190.6932742
2792,-189.6932742
2792,-188.6932742
2793,-187.6932742
2793,-186.6932742
2793,-185.6932742
2794,-184.6932742
2794,-183.6932742
2794,-182.6932742
2795,-181.6932742
2795,-180.6932742
2795,-179.6932742
2796,-178.6932742
2796,-177.6932742
2796,-176.6932742
2797,-175.6932742
2797,-174.6932742
2797,-173.6932742
2798,-172.6932742
2798,-171.6932742
2798,-170.6932742
2798,-169.6932742
2799,-168.6932742
2799,-167.6932742
2799,-166.6932742
2799,-165.6932742
2799,-164.6932742
2800,-163.6932742
2800,-162.6932742
2800,-161.6932742
2800,-160.6932742
2800,-159.6932742
2800,-158.6932742
2800,-157.6932742
2800,-156.6932742
2800,-155.6932742
2800,-154.6932742
2800,-153.6932742
2800,-152.6932742
2800,-151.6932742
2800,-150.6932742
2801,-149.6932742
2801,-148.6932742
2801,-147.6932742
2801,-146.6932742
2801,-145.6932742
2801,-144.6932742
2801,-143.6932742
2801,-142.6932742
2801,-141.6932742
2801,-140.6932742
2802,-139.6932742
2802,-138.6932742
2802,-137.6932742
2802,-136.6932742
2802,-135.6932742
2802,-134.6932742
2802,-133.6932742
2802,-132.6932742
2802,-131.6932742
2802,-130.6932742
2802,-129.6932742
2802,-128.6932742
2802,-127.6932742
2802,-126.6932742
2802,-125.6932742
2802,-124.6932742
2802,-123.6932742
2803,-122.6932742
2803,-121.6932742
2803,-120.6932742
2803,-119.6932742
2804,-118.6932742
2804,-117.6932742
2804,-116.6932742
2804,-115.6932742
2805,-114.6932742
2805,-113.6932742
2805,-112.6932742
2805,-111.6932742
2805,-110.6932742
2806,-109.6932742
2806,-108.6932742
2806,-107.6932742
2806,-106.6932742
2806,-105.6932742
2806,-104.6932742
2806,-103.6932742
2806,-102.6932742
2806,-101.6932742
2806,-100.6932742
2806,-99.69327421
2806,-98.69327421
2806,-97.69327421
2806,-96.69327421
2806,-95.69327421
2806,-94.69327421
2806,-93.69327421
2806,-92.69327421
2806,-91.69327421
2806,-90.69327421
2806,-89.69327421
2806,-88.69327421
2806,-87.69327421
2806,-86.69327421
2806,-85.69327421
2806,-84.69327421
2806,-83.69327421
2806,-82.69327421
2806,-81.69327421
2806,-80.69327421
2806,-79.69327421
2806,-78.69327421
2806,-77.69327421
2806,-76.69327421
2806,-75.69327421
2806,-74.69327421
2806,-73.69327421
2805,-72.69327421
2805,-71.69327421
2804,-70.69327421
2804,-69.69327421
2804,-68.69327421
2804,-67.69327421
2803,-66.69327421
2803,-65.69327421
2803,-64.69327421
2803,-63.69327421
2803,-62.69327421
2803,-61.69327421
2803,-60.69327421
2803,-59.69327421
2803,-58.69327421
2803,-57.69327421
2803,-56.69327421
2803,-55.69327421
2803,-54.69327421
2804,-53.69327421
2804,-52.69327421
2804,-51.69327421
2804,-50.69327421
2804,-49.69327421
2804,-48.69327421
2804,-47.69327421
2804,-46.69327421
2804,-45.69327421
2804,-44.69327421
2804,-43.69327421
2804,-42.69327421
2805,-41.69327421
2805,-40.69327421
2805,-39.69327421
2805,-38.69327421
2805,-37.69327421
2806,-36.69327421
2806,-35.69327421
2806,-34.69327421
2806,-33.69327421
2806,-32.69327421
2807,-31.69327421
2807,-30.69327421
2807,-29.69327421
2808,-28.69327421
2808,-27.69327421
2809,-26.69327421
2809,-25.69327421
2810,-24.69327421
2810,-23.69327421
2810,-22.69327421
2811,-21.69327421
2811,-20.69327421
2812,-19.69327421
2812,-18.69327421
2813,-17.69327421
2813,-16.69327421
2813,-15.69327421
2814,-14.69327421
2814,-13.69327421
2814,-12.69327421
2814,-11.69327421
2814,-10.69327421
2814,-9.693274205
2814,-8.693274205
2814,-7.693274205
2815,-6.693274205
2815,-5.693274205
2815,-4.693274205
2815,-3.693274205
2815,-2.693274205
2815,-1.693274205
2815,-0.693274205
2815,0.306725795
2815,1.306725795
2815,2.306725795
2815,3.306725795
2815,4.306725795
2815,5.306725795
2814,6.306725795
2814,7.306725795
2814,8.306725795
2814,9.306725795
2814,10.30672579
2814,11.30672579
2814,12.30672579
2814,13.30672579
2814,14.30672579
2814,15.30672579
